,active,Astapor,King's Landing,Winterfell,Unknown,iPhone,trips_in_first_30_days,avg_rating_of_driver,avg_surge,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver
0,No,0,1,0,0,1,4,4.7,1.1,1,46.2,3.67,5.0
1,No,1,0,0,0,0,0,5.0,1.0,0,50.0,8.26,5.0
2,No,1,0,0,0,1,3,4.3,1.0,0,100.0,0.77,5.0
3,No,0,1,0,0,1,9,4.6,1.14,1,80.0,2.36,4.9
4,No,0,0,1,0,0,14,4.4,1.19,0,82.4,3.13,4.9
5,No,0,0,1,0,1,2,3.5,1.0,1,100.0,10.56,5.0
6,No,0,0,1,0,1,2,5.0,1.0,0,100.0,2.04,5.0
7,No,0,0,1,0,0,2,4.5,1.0,0,100.0,4.36,5.0
8,No,0,0,1,0,1,1,5.0,1.0,1,100.0,4.28,4.9
9,No,0,0,1,0,1,3,4.0,1.0,0,100.0,3.81,5.0
10,No,0,1,0,0,0,1,5.0,1.0,1,50.0,10.86,3.0
11,No,0,1,0,0,1,0,3.9,1.0,1,95.2,2.38,4.8
12,No,0,1,0,0,1,6,4.6,1.21,1,80.8,6.83,4.8
13,No,0,1,0,0,1,0,5.0,1.17,0,66.7,12.08,5.0
14,No,0,1,0,0,0,0,5.0,1.0,1,100.0,7.74,5.0
15,No,1,0,0,0,1,4,4.5,1.02,0,36.4,2.1,4.7
16,No,1,0,0,0,0,1,4.0,1.0,0,100.0,1.66,5.0
17,No,0,0,1,0,1,3,5.0,1.05,0,100.0,3.05,5.0
18,No,1,0,0,0,0,1,4.0,1.0,0,100.0,11.25,5.0
19,No,1,0,0,0,1,4,5.0,1.0,1,25.0,6.12,4.8
20,No,0,0,1,0,1,1,4.9,1.0,0,40.0,11.86,5.0
21,No,0,1,0,0,0,2,5.0,1.0,0,100.0,14.16,5.0
22,No,1,0,0,0,1,0,4.0,1.0,0,50.0,1.38,5.0
23,No,0,1,0,0,1,24,4.9,1.04,1,61.6,4.69,4.8
24,No,0,0,1,0,1,2,4.0,1.0,0,50.0,0.83,5.0
25,No,0,0,1,0,1,1,4.5,1.0,0,50.0,16.52,5.0
26,No,0,1,0,0,1,2,5.0,1.0,1,66.7,1.4,5.0
27,No,1,0,0,0,0,3,4.0,1.0,0,50.0,3.0,4.2
28,No,1,0,0,0,1,6,5.0,1.33,0,100.0,2.93,5.0
29,No,0,0,1,0,1,4,4.8,1.0,0,100.0,1.75,4.8
30,No,0,0,1,0,1,2,4.4,1.0,0,71.4,10.54,4.7
31,No,0,0,1,0,0,4,4.5,1.0,0,52.4,3.24,5.0
32,No,0,0,1,0,1,0,5.0,1.0,0,80.0,4.98,5.0
33,No,1,0,0,0,1,6,4.4,1.56,1,22.2,3.15,4.8
34,No,1,0,0,0,0,0,4.3,1.0,0,66.7,10.21,5.0
35,No,1,0,0,0,1,0,5.0,1.0,0,40.0,2.6,5.0
36,No,0,1,0,0,1,0,4.5,1.06,0,75.0,4.81,4.8
37,No,1,0,0,0,1,3,4.8,1.03,0,54.1,2.21,4.8
38,No,0,0,1,0,1,1,5.0,1.0,0,75.0,10.37,5.0
39,No,0,0,1,0,1,1,5.0,1.0,1,100.0,2.42,5.0
40,No,0,0,1,0,0,0,5.0,1.0,0,100.0,1.89,5.0
41,No,0,1,0,0,1,0,5.0,1.0,1,0.0,4.44,5.0
42,No,1,0,0,0,1,5,3.9,1.09,1,63.2,2.61,4.8
43,No,1,0,0,0,1,0,5.0,1.0,0,100.0,4.46,5.0
44,No,1,0,0,0,0,1,5.0,1.0,0,100.0,1.02,5.0
45,No,1,0,0,0,1,1,5.0,1.0,0,100.0,0.0,3.0
46,No,0,1,0,0,1,7,5.0,1.35,0,84.0,2.3,4.9
47,No,0,0,1,0,0,0,5.0,1.0,0,0.0,1.45,4.0
48,No,1,0,0,0,1,5,4.8,1.0,0,100.0,2.47,5.0
49,No,0,0,1,0,1,1,5.0,1.0,0,0.0,1.82,4.0
50,No,1,0,0,0,0,0,5.0,1.0,1,66.7,10.49,5.0
51,No,1,0,0,0,1,0,4.0,1.5,0,50.0,3.99,5.0
52,No,0,0,1,0,1,1,4.0,1.11,1,81.8,4.61,4.8
53,No,0,1,0,0,1,7,4.8,1.03,0,63.2,2.6,4.7
